date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2026-06-11,Mexico,South Africa,,,FIFA World Cup,Mexico City,Mexico,False
2026-06-11,Korea Republic,Czechia,,,FIFA World Cup,Zapopan,Mexico,True
2026-06-12,Canada,Bosnia and Herzegovina,,,FIFA World Cup,Toronto,Canada,False
2026-06-12,USA,Paraguay,,,FIFA World Cup,Inglewood,USA,False
2026-06-13,Qatar,Switzerland,,,FIFA World Cup,Santa Clara,USA,True
2026-06-13,Brazil,Morocco,,,FIFA World Cup,East Rutherford,USA,True
2026-06-13,Haiti,Scotland,,,FIFA World Cup,Foxborough,USA,True
2026-06-13,Australia,Türkiye,,,FIFA World Cup,Vancouver,Canada,True
2026-06-14,Germany,Curaçao,,,FIFA World Cup,Houston,USA,True
2026-06-14,Côte d'Ivoire,Ecuador,,,FIFA World Cup,Philadelphia,USA,True
2026-06-14,Netherlands,Japan,,,FIFA World Cup,Arlington,USA,True
2026-06-14,Sweden,Tunisia,,,FIFA World Cup,Guadalupe,Mexico,True
2026-06-15,Belgium,Egypt,,,FIFA World Cup,Seattle,USA,True
2026-06-15,IR Iran,New Zealand,,,FIFA World Cup,Inglewood,USA,True
2026-06-15,Spain,Cabo Verde,,,FIFA World Cup,Atlanta,USA,True
2026-06-15,Saudi Arabia,Uruguay,,,FIFA World Cup,Miami Gardens,USA,True
2026-06-16,France,Senegal,,,FIFA World Cup,East Rutherford,USA,True
2026-06-16,Iraq,Norway,,,FIFA World Cup,Foxborough,USA,True
2026-06-16,Argentina,Algeria,,,FIFA World Cup,Kansas City,USA,True
2026-06-16,Austria,Jordan,,,FIFA World Cup,Santa Clara,USA,True
2026-06-17,Portugal,Congo DR,,,FIFA World Cup,Houston,USA,True
2026-06-17,Uzbekistan,Colombia,,,FIFA World Cup,Mexico City,Mexico,True
2026-06-17,England,Croatia,,,FIFA World Cup,Arlington,USA,True
2026-06-17,Ghana,Panama,,,FIFA World Cup,Toronto,Canada,True
2026-06-18,Czechia,South Africa,,,FIFA World Cup,Atlanta,USA,True
2026-06-18,Mexico,Korea Republic,,,FIFA World Cup,Zapopan,Mexico,False
2026-06-18,Switzerland,Bosnia and Herzegovina,,,FIFA World Cup,Inglewood,USA,True
2026-06-18,Canada,Qatar,,,FIFA World Cup,Vancouver,Canada,False
2026-06-19,Scotland,Morocco,,,FIFA World Cup,Foxborough,USA,True
2026-06-19,Brazil,Haiti,,,FIFA World Cup,Philadelphia,USA,True
2026-06-19,USA,Australia,,,FIFA World Cup,Seattle,USA,False
2026-06-19,Türkiye,Paraguay,,,FIFA World Cup,Santa Clara,USA,True
2026-06-20,Germany,Côte d'Ivoire,,,FIFA World Cup,Toronto,Canada,True
2026-06-20,Ecuador,Curaçao,,,FIFA World Cup,Kansas City,USA,True
2026-06-20,Netherlands,Sweden,,,FIFA World Cup,Houston,USA,True
2026-06-20,Tunisia,Japan,,,FIFA World Cup,Guadalupe,Mexico,True
2026-06-21,Belgium,IR Iran,,,FIFA World Cup,Inglewood,USA,True
2026-06-21,New Zealand,Egypt,,,FIFA World Cup,Vancouver,Canada,True
2026-06-21,Spain,Saudi Arabia,,,FIFA World Cup,Atlanta,USA,True
2026-06-21,Uruguay,Cabo Verde,,,FIFA World Cup,Miami Gardens,USA,True
